"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4581","verify valid login","Google Chrome","2025-12-22","passed","2025-12-22","","loginpage.spec.ts","",""
"","4318","verify invalid login","Google Chrome","2025-12-22","passed","2025-12-22","","loginpage.spec.ts","",""
